database,tableName,isTemporary
nzmigration,wm_order_line_item_validation_report_on_2023_07_23_04_38_compare_only,False
nzmigration,wm_order_line_item_validation_report_on_2023_07_23_04_38_missmatch_only,False
nzmigration,wm_order_status,False
nzmigration,wm_order_status_temp,False
nzmigration,wm_orders,False
nzmigration,wm_orders_temp,False
nzmigration,wm_outpt_lpn,False
nzmigration,wm_outpt_lpn_detail,False
nzmigration,wm_outpt_lpn_detail_temp,False
nzmigration,wm_outpt_lpn_temp,False
nzmigration,wm_outpt_order_line_item,False
nzmigration,wm_outpt_order_line_item_temp,False
nzmigration,wm_outpt_orders,False
nzmigration,wm_outpt_orders_temp,False
nzmigration,wm_pick_locn_dtl,False
nzmigration,wm_pick_locn_dtl_slotting,False
nzmigration,wm_pick_locn_dtl_slotting_temp,False
nzmigration,wm_pick_locn_dtl_temp,False
nzmigration,wm_pick_locn_hdr,False
nzmigration,wm_pick_locn_hdr_slotting,False
nzmigration,wm_pick_locn_hdr_slotting_temp,False
nzmigration,wm_pick_locn_hdr_temp,False
nzmigration,wm_picking_short_item,False
nzmigration,wm_picking_short_item_temp,False
nzmigration,wm_pix_tran,False
nzmigration,wm_pix_tran_temp,False
nzmigration,wm_pix_tran_validation_report_on_2023_07_21_05_33,False
nzmigration,wm_pix_tran_validation_report_on_2023_07_21_10_58,False
nzmigration,wm_product_class,False
nzmigration,wm_product_class_temp,False
nzmigration,wm_purchase_orders,False
nzmigration,wm_purchase_orders_line_item,False
nzmigration,wm_purchase_orders_line_item_temp,False
nzmigration,wm_purchase_orders_line_status,False
nzmigration,wm_purchase_orders_line_status_temp,False
nzmigration,wm_purchase_orders_status,False
nzmigration,wm_purchase_orders_status_temp,False
nzmigration,wm_purchase_orders_temp,False
nzmigration,wm_putaway_lock,False
nzmigration,wm_putaway_lock_temp,False
nzmigration,wm_rack_type,False
nzmigration,wm_rack_type_level,False
nzmigration,wm_rack_type_level_temp,False
nzmigration,wm_rack_type_temp,False
nzmigration,wm_resv_locn_hdr,False
nzmigration,wm_resv_locn_hdr_temp,False
nzmigration,wm_sec_user,False
nzmigration,wm_sec_user_temp,False
nzmigration,wm_ship_via,False
nzmigration,wm_ship_via_temp,False
nzmigration,wm_shipment,False
nzmigration,wm_shipment_status,False
nzmigration,wm_shipment_status_temp,False
nzmigration,wm_shipment_temp,False
nzmigration,wm_size_uom,False
nzmigration,wm_size_uom_temp,False
nzmigration,wm_slot_item,False
nzmigration,wm_slot_item_score,False
nzmigration,wm_slot_item_score_temp,False
nzmigration,wm_slot_item_temp,False
nzmigration,wm_standard_uom,False
nzmigration,wm_standard_uom_temp,False
nzmigration,wm_stop,False
nzmigration,wm_stop_status,False
nzmigration,wm_stop_status_temp,False
nzmigration,wm_stop_temp,False
nzmigration,wm_sys_code,False
nzmigration,wm_sys_code_temp,False
nzmigration,wm_task_dtl,False
nzmigration,wm_task_dtl_temp,False
nzmigration,wm_task_hdr,False
nzmigration,wm_task_hdr_temp,False
nzmigration,wm_trailer_contents,False
nzmigration,wm_trailer_contents_temp,False
nzmigration,wm_trailer_ref,False
nzmigration,wm_trailer_ref_temp,False
nzmigration,wm_trailer_type,False
nzmigration,wm_trailer_type_temp,False
nzmigration,wm_trailer_visit,False
nzmigration,wm_trailer_visit_dtl,False
nzmigration,wm_trailer_visit_dtl_temp,False
nzmigration,wm_trailer_visit_temp,False
nzmigration,wm_ucl_user_validation_report_on_2023_06_29_03_42,False
nzmigration,wm_ucl_user_validation_report_on_2023_06_29_04_36,False
nzmigration,wm_ucl_user_validation_report_on_2023_06_29_15_08,False
nzmigration,wm_ucl_user_validation_report_on_2023_06_29_15_59,False
nzmigration,wm_ucl_user_validation_report_on_2023_07_01_01_00,False
nzmigration,wm_un_number,False
nzmigration,wm_un_number_temp,False
nzmigration,wm_user_profile,False
nzmigration,wm_user_profile_temp,False
nzmigration,wm_vend_perf_tran,False
nzmigration,wm_vend_perf_tran_temp,False
nzmigration,wm_wave_parm,False
nzmigration,wm_wave_parm_temp,False
nzmigration,wm_yard,False
nzmigration,wm_yard_temp,False
